Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
25,63,9,20,42,10,2,5,473,Poor
25,76,5,9,21,5,1,16,541,Good
31,68,6,15,29,6,1,9,564,Moderate
30,57,0,5,25,10,1,5,696,Moderate
22,75,0,8,16,6,1,16,381,Good
33,84,4,10,17,9,2,6,504,Moderate
24,48,23,26,26,4,1,12,406,Good
35,85,34,43,24,9,2,9,629,Moderate
26,77,9,16,22,6,1,17,514,Good
25,51,19,24,17,6,1,12,443,Good
23,101,7,30,28,16,2,7,711,Poor
55,91,49,63,30,12,3,4,617,Hazardous
36,87,26,34,29,17,1,6,619,Moderate
30,75,22,34,26,8,1,6,401,Moderate
32,49,1,16,17,9,2,5,662,Moderate
28,52,5,10,19,3,1,11,271,Good
31,76,58,80,39,29,2,3,463,Poor
28,55,4,15,20,5,1,6,629,Moderate
43,63,82,103,45,29,2,7,747,Poor
30,77,34,44,34,13,1,6,372,Moderate
36,71,70,78,29,16,2,7,420,Poor
36,104,19,50,49,7,2,3,879,Hazardous
26,55,2,8,28,3,1,17,330,Good
53,70,60,82,32,16,2,3,526,Hazardous
26,53,1,10,26,3,1,12,377,Good
20,67,19,21,26,5,1,11,416,Good
30,66,17,25,30,6,2,8,482,Moderate
32,79,118,128,39,28,3,9,774,Hazardous
26,41,0,6,23,7,1,10,432,Good
25,46,6,13,14,7,1,10,547,Good
24,73,2,10,23,2,1,11,300,Good
23,71,16,20,17,6,1,11,516,Good
24,58,22,27,22,4,1,11,336,Good
24,69,60,76,21,9,1,6,512,Moderate
33,95,8,15,34,10,2,5,392,Moderate
29,52,8,13,16,5,1,10,226,Good
28,69,14,19,22,5,1,10,231,Good
25,65,17,20,20,7,1,10,355,Good
22,77,21,28,21,4,1,10,384,Good
24,75,8,15,24,3,1,12,275,Good
27,42,2,6,26,2,1,10,303,Good
33,81,14,22,35,7,1,9,534,Moderate
29,110,4,22,62,14,2,3,678,Hazardous
30,81,7,15,30,7,2,8,606,Moderate
20,79,1,4,22,5,1,10,407,Good
33,67,5,9,31,14,1,10,485,Moderate
22,69,1,8,10,6,1,12,489,Good
20,58,2,7,15,5,1,16,260,Good
25,59,16,17,15,7,1,10,439,Good
22,74,90,100,29,11,2,5,573,Poor
41,95,37,47,43,21,2,3,679,Hazardous
33,60,54,66,20,8,1,9,418,Moderate
28,69,16,25,23,8,2,6,344,Moderate
30,87,6,30,36,18,2,3,465,Hazardous
35,96,48,66,29,15,2,6,569,Poor
28,77,25,36,28,13,2,7,440,Moderate
27,93,10,20,24,11,1,6,453,Moderate
24,66,0,7,25,6,1,13,370,Good
34,63,3,24,29,14,2,10,548,Poor
26,69,64,79,26,10,2,12,579,Poor
24,62,2,7,25,3,1,12,501,Good
22,50,4,12,14,10,1,14,466,Good
30,44,25,27,28,8,1,10,315,Good
39,90,63,70,45,24,2,4,771,Hazardous
30,63,22,33,37,1,2,5,437,Moderate
27,54,4,10,24,6,1,10,580,Good
36,85,9,20,25,15,2,7,626,Moderate
37,72,60,68,36,14,2,3,580,Poor
35,65,23,46,38,23,2,4,509,Poor
42,66,33,51,48,13,3,4,709,Hazardous
25,79,6,9,19,1,1,11,219,Good
29,64,4,10,21,3,1,12,487,Good
21,68,7,11,11,7,1,11,316,Good
22,45,20,25,23,4,1,14,385,Good
34,85,32,54,50,35,2,4,822,Hazardous
19,71,8,14,21,0,1,10,262,Good
26,68,8,14,12,3,1,12,307,Good
50,97,18,39,46,33,2,5,588,Hazardous
20,80,1,3,24,3,1,13,276,Good
37,75,20,41,38,27,3,12,875,Hazardous
24,44,10,12,19,0,1,11,341,Good
34,73,4,19,30,8,1,6,522,Moderate
37,94,17,34,33,11,2,3,684,Hazardous
29,61,2,16,33,13,2,7,637,Moderate
23,43,4,8,23,8,1,10,499,Good
20,56,0,4,19,5,1,11,198,Good
26,67,1,6,16,6,1,16,205,Good
24,57,3,7,13,8,1,11,360,Good
24,48,17,26,19,4,1,15,544,Good
25,77,5,11,20,6,1,11,282,Good
28,78,1,20,27,11,1,9,376,Moderate
44,80,18,30,28,8,2,4,685,Poor
23,47,19,27,26,7,1,14,354,Good
31,48,11,16,26,6,1,10,332,Good
22,69,4,8,13,5,1,10,447,Good
43,59,62,75,33,19,2,4,801,Poor
27,54,5,16,21,6,1,6,613,Moderate
27,68,2,9,25,8,1,11,249,Good
26,47,3,6,25,1,1,11,368,Good
38,61,8,27,22,13,2,6,343,Moderate
45,113,30,52,42,23,3,3,677,Hazardous
27,55,10,11,24,16,2,7,576,Moderate
36,49,18,26,29,13,2,4,649,Poor
31,72,7,12,28,10,2,5,555,Moderate
33,86,169,195,49,5,2,6,737,Poor
28,74,13,22,23,6,2,5,422,Moderate
31,76,18,32,28,12,2,6,516,Moderate
24,68,0,4,24,6,1,15,412,Good
39,87,33,44,30,9,1,8,482,Moderate
34,44,46,62,23,5,2,11,523,Moderate
41,85,32,45,30,19,3,4,554,Poor
22,54,2,13,21,9,1,5,309,Moderate
27,65,22,38,22,6,1,6,465,Moderate
31,65,26,34,27,22,2,4,631,Poor
30,87,33,41,21,8,1,11,295,Moderate
31,93,6,10,29,15,1,6,393,Moderate
37,68,28,42,44,7,2,4,726,Poor
28,50,9,17,18,1,1,10,291,Good
42,87,84,98,42,5,2,12,712,Poor
26,49,2,6,11,4,1,16,293,Good
36,98,11,19,54,32,3,4,560,Hazardous
32,71,20,35,39,11,2,10,562,Poor
41,72,7,30,38,8,2,4,713,Poor
26,66,8,14,13,4,1,13,354,Good
25,48,3,8,17,7,1,13,581,Good
25,58,14,19,14,10,1,12,437,Good
28,73,10,19,30,20,2,5,705,Poor
32,80,36,52,37,21,2,9,643,Poor
34,73,26,40,29,15,2,9,439,Moderate
28,49,10,15,24,7,1,10,441,Good
42,94,8,22,36,22,2,4,497,Poor
30,61,21,31,19,7,1,7,638,Moderate
27,51,33,37,12,8,1,11,241,Good
40,89,193,213,39,18,2,10,758,Hazardous
24,77,20,25,41,18,2,4,656,Poor
29,56,31,41,24,9,2,6,572,Moderate
27,38,10,15,20,5,1,11,375,Good
24,48,15,20,24,4,1,12,381,Good
27,45,13,22,22,9,1,6,363,Moderate
33,91,4,15,33,25,2,4,643,Poor
37,50,2,14,30,9,1,5,565,Moderate
36,73,3,8,27,14,2,6,421,Moderate
31,76,65,89,44,4,2,5,804,Poor
37,81,17,37,33,18,2,4,445,Poor
24,55,12,29,25,10,2,8,350,Moderate
30,53,3,10,22,5,1,14,297,Good
33,57,18,21,33,7,2,6,606,Moderate
21,70,0,7,23,4,1,15,520,Good
26,42,10,17,23,7,1,10,384,Good
30,88,34,43,29,12,2,6,561,Moderate
24,74,3,4,11,4,1,14,447,Good
21,64,1,7,16,5,1,13,456,Good
23,44,6,8,20,5,1,11,564,Good
22,53,11,15,25,7,1,16,301,Good
24,46,3,8,24,6,1,12,357,Good
39,74,24,44,44,15,2,3,787,Hazardous
37,60,12,27,38,24,2,4,640,Poor
33,110,21,40,32,26,2,5,775,Hazardous
33,63,13,24,23,4,1,11,522,Moderate
32,56,6,11,26,13,2,6,298,Moderate
38,91,76,79,39,11,2,5,506,Poor
24,45,1,7,14,5,1,12,603,Good
33,69,7,15,37,15,2,4,712,Poor
34,47,4,9,21,6,1,14,204,Good
24,57,44,53,16,7,1,11,520,Good
32,72,8,19,23,10,1,5,560,Moderate
20,56,4,10,12,3,1,14,459,Good
27,60,1,9,16,5,1,12,359,Good
30,76,28,33,24,8,1,7,554,Moderate
28,66,43,52,23,10,2,8,463,Moderate
36,95,10,32,34,24,2,7,681,Poor
21,51,1,7,12,3,1,12,298,Good
26,58,11,15,26,7,1,10,350,Good
28,39,2,8,10,6,1,12,560,Good
24,68,3,9,11,4,1,12,480,Good
41,82,52,59,30,8,2,5,479,Moderate
26,45,2,7,24,6,1,10,574,Good
27,57,6,11,17,6,1,11,257,Good
31,76,14,19,24,3,1,13,302,Good
38,87,38,51,22,7,1,5,311,Moderate
24,58,36,39,17,5,1,11,360,Good
41,82,1,16,28,18,2,6,577,Poor
16,46,17,20,16,2,1,14,189,Good
31,75,2,5,21,2,1,10,337,Good
28,94,45,59,30,12,1,6,687,Moderate
26,60,93,98,25,0,1,12,485,Good
22,70,32,35,29,4,1,11,239,Good
40,62,2,17,31,22,2,5,788,Poor
24,71,5,10,17,2,1,14,366,Good
32,56,22,31,23,8,1,6,581,Moderate
32,106,19,34,33,19,3,4,670,Hazardous
33,76,79,87,28,13,1,9,679,Moderate
31,75,57,63,24,16,1,6,480,Moderate
24,44,0,5,14,5,1,12,399,Good
27,102,9,7,45,28,2,3,645,Hazardous
28,54,18,23,25,11,1,8,638,Moderate
29,61,29,47,32,25,1,5,611,Poor
27,50,46,51,14,6,1,10,371,Good
36,72,4,10,27,7,1,6,488,Moderate
28,76,13,18,25,8,1,12,536,Good
39,67,12,20,22,8,2,5,514,Moderate
25,78,2,9,12,0,1,14,269,Good
24,67,7,12,24,4,1,11,277,Good
39,81,52,74,38,27,2,4,707,Poor
23,70,10,25,33,14,1,5,607,Moderate
24,57,0,5,28,6,1,11,442,Good
31,90,19,38,32,37,3,3,532,Hazardous
34,98,52,65,35,9,2,6,685,Poor
22,74,6,11,21,8,1,13,210,Good
27,46,2,6,13,7,1,11,233,Good
24,67,14,20,20,6,1,11,347,Good
37,59,21,31,25,9,1,8,430,Moderate
21,90,58,74,19,17,2,4,498,Poor
27,46,15,20,14,6,1,12,239,Good
27,68,33,41,21,5,2,7,458,Moderate
32,63,3,12,18,12,1,10,314,Moderate
33,80,3,8,30,17,1,5,584,Moderate
28,89,40,68,32,14,2,5,413,Poor
37,103,7,25,53,15,3,3,594,Hazardous
24,52,11,14,28,4,1,12,474,Good
23,67,12,27,18,11,2,6,332,Moderate
29,72,4,8,28,4,2,4,629,Poor
23,61,10,14,22,5,1,13,329,Good
30,84,14,29,31,21,1,12,506,Moderate
22,54,24,29,18,6,1,11,289,Good
24,48,22,30,11,13,1,11,572,Good
33,59,31,39,31,18,2,5,448,Poor
34,81,32,47,32,16,2,4,507,Poor
35,83,25,43,36,8,2,6,419,Poor
26,52,36,57,29,7,1,5,535,Moderate
39,85,69,92,33,16,2,4,513,Poor
29,66,1,6,26,6,1,11,576,Good
25,73,12,15,21,8,1,7,503,Moderate
19,84,8,24,37,16,2,5,691,Poor
34,53,32,44,29,17,2,8,622,Moderate
28,58,2,10,17,5,1,11,376,Good
32,59,36,40,20,6,1,14,565,Good
40,62,48,68,32,-4,3,5,570,Poor
35,120,48,61,49,24,2,5,662,Hazardous
32,52,30,41,29,11,1,6,565,Moderate
26,52,4,9,28,6,1,10,542,Good
44,59,6,17,29,10,2,5,643,Poor
44,80,41,53,38,22,2,5,837,Hazardous
26,79,16,22,18,3,1,10,387,Good
25,83,24,35,19,10,2,8,529,Moderate
23,73,1,5,24,4,1,11,381,Good
32,80,14,29,37,15,2,5,807,Poor
26,63,13,26,27,14,2,6,509,Moderate
36,95,14,38,33,11,2,4,749,Poor
28,39,6,12,26,7,1,15,289,Good
25,46,3,9,18,4,1,10,296,Good
32,91,11,19,35,8,2,4,513,Poor
27,83,13,31,26,10,1,6,539,Moderate
28,51,16,20,26,6,1,11,562,Good
34,84,187,210,37,13,3,6,879,Hazardous
33,63,34,40,29,11,2,7,296,Moderate
39,92,16,36,52,24,2,7,476,Hazardous
34,82,2,10,27,15,2,9,407,Moderate
46,105,56,70,23,26,2,7,524,Hazardous
22,65,14,19,12,6,1,11,230,Good
24,63,7,15,22,11,1,10,437,Good
24,63,2,9,23,5,1,12,561,Good
31,67,9,17,25,22,1,6,798,Poor
17,78,19,23,15,1,1,13,501,Good
36,80,35,46,32,9,2,6,531,Moderate
20,66,1,4,17,3,1,11,573,Good
27,75,19,33,31,20,2,7,415,Moderate
33,89,21,45,29,12,2,6,482,Poor
39,89,55,81,45,7,2,9,792,Poor
20,65,37,43,21,3,1,10,335,Good
34,57,20,34,28,16,2,5,531,Moderate
25,79,36,48,21,10,2,10,549,Moderate
33,87,13,31,27,15,2,6,331,Moderate
25,76,32,42,16,18,1,6,612,Moderate
34,105,8,32,55,18,3,5,561,Hazardous
27,54,38,44,18,5,1,14,197,Good
28,45,10,10,19,5,1,11,407,Good
36,61,20,30,22,15,1,16,495,Moderate
38,97,1,29,57,26,3,6,571,Hazardous
34,78,16,31,30,20,2,4,411,Poor
26,70,6,19,32,12,1,5,645,Moderate
33,92,20,36,37,7,2,4,655,Poor
26,86,1,12,25,6,2,6,544,Moderate
35,82,2,11,35,16,2,17,438,Poor
25,62,11,17,13,1,1,11,401,Good
34,78,7,14,29,17,2,5,694,Poor
33,92,5,25,30,20,1,4,494,Poor
27,65,10,16,13,8,1,13,282,Good
28,86,11,27,27,11,1,6,674,Moderate
38,70,109,132,23,22,2,8,616,Poor
38,69,37,49,22,10,2,5,540,Moderate
31,81,20,33,32,4,3,3,662,Poor
25,63,4,12,28,8,1,11,276,Good
40,102,40,55,30,3,2,4,446,Poor
24,55,1,6,18,-1,1,13,363,Good
28,74,12,33,38,20,2,8,642,Poor
27,52,14,18,13,2,1,11,560,Good
32,50,35,42,14,1,1,10,428,Good
28,70,17,30,28,9,2,12,564,Moderate
23,78,6,12,21,4,1,10,385,Good
41,77,154,176,37,18,3,5,821,Hazardous
35,73,74,92,39,20,2,3,623,Hazardous
30,61,1,18,26,8,2,9,438,Moderate
25,52,5,15,27,8,2,9,551,Moderate
35,78,3,19,29,18,1,6,534,Moderate
26,69,12,17,10,6,1,10,470,Good
30,46,7,14,19,9,1,12,536,Good
28,63,7,12,31,12,1,8,663,Moderate
30,53,3,12,21,6,1,5,642,Moderate
25,79,17,22,24,3,1,13,580,Good
26,64,16,24,30,11,1,6,394,Moderate
28,68,26,34,23,5,1,14,238,Good
24,70,2,9,11,5,1,15,228,Good
24,78,17,29,35,9,1,9,316,Moderate
39,62,28,52,49,23,2,6,538,Poor
30,82,3,12,35,14,2,5,464,Moderate
34,77,4,10,22,4,1,10,299,Good
37,97,13,31,29,28,2,3,678,Poor
22,67,12,16,24,5,1,10,244,Good
29,84,18,34,34,22,2,4,712,Poor
33,74,10,16,27,6,1,11,199,Good
38,59,4,20,24,10,1,14,648,Moderate
32,70,8,20,25,10,1,7,438,Moderate
37,78,20,22,30,15,2,4,516,Poor
24,65,6,11,18,2,1,11,455,Good
29,59,6,16,22,6,1,11,213,Good
28,76,2,10,39,4,2,6,479,Moderate
40,82,14,22,33,13,1,5,457,Moderate
31,89,28,33,31,14,2,6,494,Moderate
36,90,5,32,28,10,2,5,630,Poor
33,64,48,52,30,15,2,6,355,Moderate
30,89,16,24,19,10,1,7,498,Moderate
35,80,13,19,36,22,2,5,546,Poor
23,73,29,39,21,7,1,5,299,Moderate
37,99,38,58,54,31,2,5,572,Hazardous
18,54,12,20,13,6,1,10,314,Good
33,70,6,15,11,7,1,11,536,Good
33,72,23,30,23,17,2,7,632,Moderate
24,54,8,13,17,5,1,11,335,Good
22,74,14,19,18,4,1,10,483,Good
30,60,11,12,25,4,1,7,635,Moderate
46,84,40,58,42,26,2,3,951,Hazardous
31,42,8,12,15,7,1,12,594,Good
27,80,28,32,31,11,1,5,367,Moderate
34,80,15,22,26,16,2,6,321,Moderate
32,81,3,13,21,14,1,6,494,Moderate
29,67,7,15,17,15,1,6,593,Moderate
30,46,6,12,13,5,1,10,377,Good
31,66,26,29,18,7,1,5,603,Moderate
26,66,4,14,24,7,2,5,511,Moderate
25,86,47,56,25,12,1,8,337,Moderate
20,68,5,8,25,6,1,11,297,Good
25,77,4,16,24,11,2,6,652,Moderate
29,83,25,44,26,26,2,4,623,Poor
20,43,13,21,21,4,1,11,452,Good
30,86,6,21,36,18,2,5,420,Poor
